data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"17/09/2018";"21/09/2018";"31/12/2020";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DO QGEX";"Inexigibilidade de Licitação";"Outros";"00025/2018";"Não se aplica";"CONTRATACAO DE SERVICOS TECNICOS PROFISSIONAIS ESPECIALIZADOS EM TREINAMENTO E APERFEICOAMENTO DE PESSOA PARA ATENDER AO PLANO DE CAPACITACAO 2018";"18.966,75"
"14/09/2018";"14/09/2018";"07/12/2019";"Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal";"SUPERINTENDENCIA DA PRF NO RIO DE JANEIRO";"Inexigibilidade de Licitação";"Serviços";"26/2018";"Publicado";"Contratação da Fundação Getúlio Vargas. ±pessoa jurídica de direito privado, inscrita no CNPJ sob o n. 33.641.663/0005-78, para fornecimento do Curso Online MBA";"36.624,66"
"11/09/2018";"11/09/2018";"11/07/2020";"Ministério da Justiça e Segurança Pública";"Conselho Administrativo de Defesa Econômica";"CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA";"Inexigibilidade de Licitação";"Outros";"00013/2018";"Não se aplica";"Contratação de empresa especializada na prestação de serviços de curso pós-graduação lato sensu.";"0,00"
"04/09/2018";"04/10/2018";"03/09/2020";"Ministério da Defesa";"Comando do Exército";"BASE DE ADMINISTRACAO E APOIO/CCOMGEX";"Inexigibilidade de Licitação";"Serviços";"6/2018";"Publicado";"Contratação de Prestação de Serviço Educacinal referente ao Curso de MBA em gerenciamento de projeto, em nível de especialização, referente aos contratos 06; 07";"29.780,46"
"31/08/2018";"03/09/2018";"04/10/2019";"Presidência da República";"Empresa Brasil de Comunicação";"EMPRESA BRASIL DE COMUNICACAO S.A";"Sem Informação";"Outros";"00032/2018";"Não se aplica";"PRESTAÇÃO DE SERVIÇOS DE TREINAMENTO E APERFEIÇOAMENTO DE PESSOAL COM FORNECIMENTO DE LICENÇAS PARA CURSOS DE ATUALIZAÇÃO 30 HORAS, NA MODALIDADE DE ENSINO À DI";"184.000,00"
"06/08/2018";"06/08/2018";"05/08/2020";"Ministério da Defesa";"Comando do Exército";"BASE DE ADMINISTRACAO E APOIO/CCOMGEX";"Inexigibilidade de Licitação";"Serviços";"19/2018";"Publicado";"Contratação de prestação de serviços educacionais referente ao MBA executivo em business analytics e big data.";"25.313,40"
"06/08/2018";"06/08/2018";"05/08/2020";"Ministério da Defesa";"Comando do Exército";"BASE DE ADMINISTRACAO E APOIO/CCOMGEX";"Inexigibilidade de Licitação";"Serviços";"18/2018";"Publicado";"Contratação de prestação de serviço educacional referente ao curso de MBA Executivo em Business Analytics e Big Data, em nível de especialização.";"25.313,40"
"02/08/2018";"02/08/2018";"01/08/2019";"Ministério da Defesa";"Comando da Marinha";"DIRETORIA DE OBRAS CIVIS DA MARINHA";"Sem Informação";"Outros";"3/2018";"Fechado";"Prestação de serviços de Assessoria Técécnica Especializada para apoiar à DOCM no desenvolvimento e na execução do Programa de Monitoramento de Projetos de Obra";"6.937.266,84"
"27/07/2018";"16/08/2018";"04/10/2018";"Ministério dos Transportes";"Ministério dos Transportes - Unidades com vínculo direto";"COORDENACAO-GERAL DE GESTAO DE PESSOAS";"Dispensa de Licitação";"Serviços";"13/2018";"Publicado";"Participação da servidora Francisca Auxiliadora Norjosa no curso de Pós-Graduação Lato Sensu no tema Arbitragem, promovido pela Fundação Getúlio Vargas - FGV DI";"3.197,25"
"10/07/2018";"16/07/2018";"30/09/2021";"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"Dispensa de Licitação";"Serviços";"00559/2018";"Não se aplica";"EXECUÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS E DE NATUREZA CONTINUADA REFERENTES À MANUTENÇÃO E CRIAÇÃO DE COMPOSIÇÕES DE CUSTOS DOSSITEMA DE CUSTOS REFERENCIAI";"87.944.400,00"
"28/06/2018";"16/07/2018";"14/09/2018";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50838/2018";"Fechado";"Inscrição de dois servidores no curso de Pesquisa de mercado da FGV";"1.932,00"
