Soja - Valor da produção (2024),,
localidade,valor,unidade
Senador Alexandre Costa - MA,23.105,Mil Reais
Senador La Rocque - MA,1.444,Mil Reais
Serrano do Maranhão - MA,-,Mil Reais
Sítio Novo - MA,9.041,Mil Reais
Sucupira do Norte - MA,109.875,Mil Reais
Sucupira do Riachão - MA,13.508,Mil Reais
Tasso Fragoso - MA,1.272.646,Mil Reais
Timbiras - MA,-,Mil Reais
Timon - MA,8.303,Mil Reais
Trizidela do Vale - MA,-,Mil Reais
Tufilândia - MA,-,Mil Reais
Tuntum - MA,2.808,Mil Reais
Turiaçu - MA,-,Mil Reais
Turilândia - MA,-,Mil Reais
Tutóia - MA,-,Mil Reais
Urbano Santos - MA,6.117,Mil Reais
Vargem Grande - MA,-,Mil Reais
Viana - MA,-,Mil Reais
Vila Nova dos Martírios - MA,30.673,Mil Reais
Vitória do Mearim - MA,-,Mil Reais
Vitorino Freire - MA,-,Mil Reais
Zé Doca - MA,-,Mil Reais
Fonte: PAM
,,
