Soja - Valor da produção (2024),,
localidade,valor,unidade
Piritiba - BA,-,Mil Reais
Planaltino - BA,-,Mil Reais
Planalto - BA,-,Mil Reais
Poções - BA,-,Mil Reais
Pojuca - BA,-,Mil Reais
Ponto Novo - BA,-,Mil Reais
Porto Seguro - BA,-,Mil Reais
Potiraguá - BA,-,Mil Reais
Prado - BA,-,Mil Reais
Presidente Dutra - BA,-,Mil Reais
Presidente Jânio Quadros - BA,-,Mil Reais
Presidente Tancredo Neves - BA,-,Mil Reais
Queimadas - BA,-,Mil Reais
Quijingue - BA,-,Mil Reais
Quixabeira - BA,-,Mil Reais
Rafael Jambeiro - BA,-,Mil Reais
Remanso - BA,-,Mil Reais
Retirolândia - BA,-,Mil Reais
Riachão das Neves - BA,1.014.746,Mil Reais
Riachão do Jacuípe - BA,-,Mil Reais
Riacho de Santana - BA,-,Mil Reais
Ribeira do Amparo - BA,-,Mil Reais
Ribeira do Pombal - BA,-,Mil Reais
Ribeirão do Largo - BA,-,Mil Reais
Rio de Contas - BA,-,Mil Reais
Rio do Antônio - BA,-,Mil Reais
Rio do Pires - BA,-,Mil Reais
Rio Real - BA,-,Mil Reais
Rodelas - BA,-,Mil Reais
Ruy Barbosa - BA,-,Mil Reais
Salinas da Margarida - BA,-,Mil Reais
Salvador - BA,-,Mil Reais
Santa Bárbara - BA,-,Mil Reais
Santa Brígida - BA,-,Mil Reais
Santa Cruz Cabrália - BA,-,Mil Reais
Santa Cruz da Vitória - BA,-,Mil Reais
Santa Inês - BA,-,Mil Reais
Santaluz - BA,-,Mil Reais
Santa Luzia - BA,-,Mil Reais
Santa Maria da Vitória - BA,2.160,Mil Reais
Santana - BA,17.848,Mil Reais
Santanópolis - BA,-,Mil Reais
Santa Rita de Cássia - BA,7.351,Mil Reais
Santa Teresinha - BA,-,Mil Reais
Santo Amaro - BA,-,Mil Reais
Santo Antônio de Jesus - BA,-,Mil Reais
Santo Estêvão - BA,-,Mil Reais
São Desidério - BA,3.717.069,Mil Reais
São Domingos - BA,-,Mil Reais
São Félix - BA,-,Mil Reais
São Félix do Coribe - BA,-,Mil Reais
São Felipe - BA,-,Mil Reais
São Francisco do Conde - BA,-,Mil Reais
São Gabriel - BA,-,Mil Reais
São Gonçalo dos Campos - BA,-,Mil Reais
