OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capacidade (t);x;y
338;COPAGAZ - BASE - IPOJUCA/PE;IPOJUCA;PE;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-8.39540667;-34.97549;486.23;-34.97548999999998;-8.395406669999943
339;USEGÁS - BASE - ARAUCÁRIA/PR;ARAUCARIA;PR;USEGÁS DISTRIBUIDORA DE GÁS LTDA. - EPP;-25.55300475;-49.44787012;60;-49.44787011999995;-25.553004749999957
340;SUPERGASBRAS - BASE - ARAUCARIA/PR;ARAUCARIA;PR;SUPERGASBRAS ENERGIA LTDA;-25.55659667;-49.36071667;1640.46;-49.36071666999993;-25.556596669999976
341;SUPERGASBRAS - BASE- CAMPO GRANDE/MS;CAMPO GRANDE;MS;SUPERGASBRAS ENERGIA LTDA;-20.45343224;-54.68039379;193.35;-54.68039378999998;-20.453432239999927
342;SUPERGASBRAS DISTRIBUIDORA DE GAS LTDA.;BETIM;MG;SUPERGASBRAS ENERGIA LTDA;-19.95537411;-44.09868857;913.4;-44.09868856999998;-19.95537410999998
343;CONSIGAZ - BASE - CARIACICA/ES;CARIACICA;ES;CONSIGAZ DISTRIBUIDORA DE GÁS LTDA.;-20.28027565;-40.39268296;240;-40.392682959999945;-20.280275649999965
344;NACIONAL GÁS BUTANO - BASE -  SÃO FRANCISCO DO CONDE/BA;SAO FRANCISCO DO CONDE;BA;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-12.711125;-38.58763833;531;-38.58763832999995;-12.711124999999981
345;BAHIANA - BASE - CAMPINAS DO PIRAJÁ/BA;SALVADOR;BA;BAHIANA DISTRIBUIDORA DE GÁS LTDA;-12.91757833;-38.46088167;54.85;-38.460881669999935;-12.91757832999997
346;BASE DE MARECHAL DEODORO;MACEIO;AL;BAHIANA DISTRIBUIDORA DE GÁS LTDA;-9.59111836;-35.75905821;692;-35.75905820999998;-9.591118359999939
347;SUPERGASBRAS- BASE- SÃO JOSE DOS CAMPOS/SP;SAO JOSE DOS CAMPOS;SP;SUPERGASBRAS ENERGIA LTDA;-23.18435934;-45.81188662;522.44;-45.81188661999994;-23.184359339999958
348;NACIONAL GÁS BUTANO - BASE - PAULÍNIA/SP;PAULINIA;SP;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-22.717675;-47.14032667;352;-47.14032666999998;-22.71767499999993
349;ULTRAGAZ - BASE - BARUERI/SP;BARUERI;SP;COMPANHIA ULTRAGAZ S A;-23.50294339;-46.81682796;1500;-46.816827959999955;-23.502943389999928
350;COPAGAZ - BASE - IBIRITÉ/MG;IBIRITE;MG;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-19.98736349;-44.10223106;511.54;-44.10223105999995;-19.98736348999995
351;ULTRAGAZ - BASE - IBIRITE/MG;IBIRITE;MG;COMPANHIA ULTRAGAZ S A;-19.98774476;-44.10232362;505.8;-44.102323619999936;-19.98774475999994
352;GÁS PONTO COM DISTRIBUIDORA DE GÁS S.A.;BLUMENAU;SC;GÁS PONTO COM DISTRIBUIDORA DE GÁS S.A.;-26.855364;-49.098588;60;-49.09858799999995;-26.855363999999952
