Nome;Estado;Município;Transportadora;Categoria;Fonte;Segmento;FID;x;y
Igrejinha;RS;Igrejinha;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1067;;
Indaiatuba;SP;Indaiatuba;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1068;;
Itapetininga;SP;Itapetininga;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1069;;
Itatiba;SP;Itatiba;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1070;;
Itirapina;SP;Itirapina;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1071;;
Itu;SP;Itu;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1072;;
Jaguariúna;SP;Jaguariúna;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1073;;
Joinville;SC;Joinville;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1074;;
Limeira;SP;Limeira;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1075;;
Nova Veneza;SC;Nova Veneza;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1076;;
Porto Feliz;SP;Porto Feliz;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1077;;
REFAP;RS;Canoas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Downstream;1078;;
REPAR;PR;Araucária;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Downstream;1079;;
REPLAN;SP;Paulínia;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Downstream;1080;;
Rio Claro;SP;Rio Claro;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1081;;
São Carlos;SP;São Carlos;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1082;;
São Pedro de Alcântara;SC;São Pedro de Alcântara;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1083;;
Sumaré;SP;Sumaré;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1084;;
Tijucas;SC;Tijucas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1085;;
Três Lagoas UFN III;MS;Três Lagoas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1086;;
Tubarão;SC;Tubarão;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1087;;
Urussanga;SC;Urussanga;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1088;;
UTE Araucária - GN;PR;Araucária;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Termeletrico;1089;;
UTE Canoas (Sepé Tiaraju) - GN/OC;RS;Canoas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Termeletrico;1090;;
UTE Três Lagoas (Luiz Carlos Prestes) - GN;MS;Três Lagoas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Termeletrico;1091;;
Valparaíso;SP;Valparaíso;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1092;;
Várzea do Cedro;RS;Várzea do Cedro;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1093;;
Triunfo;RS;Triunfo;TSB;Existente;Informações Técnicas TSB abril 2023 (https://www.tsb.com.br/#gasoduto);Industrial, Comercial e outros;1094;;
UTE Uruguaiana - GN/OD;RS;Uruguaiana;TSB;Existente;Informações Técnicas TSB abril 2023 (https://www.tsb.com.br/#gasoduto);Termeletrico;1095;;
Cubatao;SP;Cubatao;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1099;;
Jacutinga;MG;Jacutinga;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1100;;
Valvula 10;ES;Serra;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1102;;
Aracruz;ES;Aracruz;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1103;;
Barra do Riacho;ES;Aracruz;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1104;;
Aratu-Manati;BA;Aratu;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1502;;
MTGAS;MT;Cuiaba;Gas Ocidente;Existente;Informações Técnicas GasOcidente abril 2023 (https://gasocidentemt.com.br/transparencia-plaraforma-eletronica-anp/);Industrial, Comercial e outros;1503;;
UTE Camaçari (Chesf/Companhia Hidroelétrica do São Francisco);BA;Camacari;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1506;;
Corumbá;MS;Corumba;TBG;Existente;Informações Técnicas TBG maio 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1507;;
Volta Redonda;RJ;Volta Redonda;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Industrial, Comercial e outros;1508;;
UTE Norte Fluminense - GN;RJ;Macaé;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Termeletrico;1509;;
UTE Mario Lago - GN;RJ;Macaé;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Termeletrico;1512;;
UTE Juiz de Fora (Igrejinha) - GN;MG;Juiz de Fora ;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Termeletrico;1514;;
UTE Aureliano Chaves (Ibirité) - GN;MG;Betim;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Termeletrico;1515;;
UTE Euzébio Rocha (Cubatão/CCBS) - GN;SP;Cubatão;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Termeletrico;1517;;
Cubatao;SP;Cubatão;NTS;Existente;Nova Transportadora do Sudeste (maio 2023);Industrial, Comercial e outros;1518;;
Marechal Deodoro Pilar;AL;Marechal Deodoro;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1919;;
Penedo;AL;Penedo;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1920;;
Rio Largo;AL;Rio Largo;TAG;Existente;Informações Técnicas TAG 2024 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1921;;
Itagibá;BA;Itagibá;TAG;Existente;Informações Técnicas TAG 2025 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;2321;;
