categoria;planta;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
compressao;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compressao;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
terminal;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sga;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23656.01;40127.68;34737.48;58208.74;127022.68;82083.89;107670.47;118966.795;497642.04;164610.53;173401.06;92382.89;82065.6432;114909.92;146965.6175;113738.95;154499.55;250265.58;198659.09;245869.2;78698.16;200859.24;161278.7756;97679.054;100014.5749;98172.5297;122505.7722;108195.7185;124363.7615;99377.4639;99377.4639;99377.4639;99377.4639;739877.4639;104377.4639;103207.3657;108400.0604;103207.3657;137998.4201;108400.0604;108400.0604;103207.3657;108400.0604;103207.3657;103207.3657;768391.5545;108400.0604;107158.0427;112549.5086;107158.0427;143280.8645;112549.5086;112549.5086;107158.0427;112549.5086;107158.0427;107158.0427;797804.8312;112549.5086;110992.8582;116577.2661;110992.8582;148408.3909;116577.2661;116577.2661;110992.8582;116577.2661;110992.8582;110992.8582;826355.5054;116577.2661;115031.9245;120819.5508;115031.9245;153809.0206;120819.5508;120819.5508;115031.9245;120819.5508;115031.9245;115031.9245;856426.8519;120819.5508;118998.5347;124985.7339;118998.5347;159112.7694;124985.7339;124985.7339;118998.5347;124985.7339;118998.5347;118998.5347;885958.7533;124985.7339;123063.3829;129255.0977;123063.3829;164547.8721;129255.0977;129255.0977;123063.3829;129255.0977;123063.3829;123063.3829;916222.0494;129255.0977;127211.5768;133612.0006;127211.5768;170094.4162;133612.0006;133612.0006;127211.5768;133612.0006;127211.5768;127211.5768;947105.8642;133612.0006;131421.024;138033.2386;131421.024;175722.8619;138033.2386;138033.2386;131421.024;138033.2386;131421.024;131421.024;978445.7166;138033.2386;135780.5499;142612.1063;135780.5499;181551.9778;142612.1063;142612.1063;135780.5499;142612.1063;135780.5499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sga;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23805.15;29745.62;54497.575;57383.885;71254.63;199026.48;159870.815;159743.58;164786.98;194695.37;143909.77;227659.49;390874.34;179891.67;430825.93;234629.29;284049.45;318761.9732;302912.667;249945.6083;452712.1983;296118.065;294945.3183;522238.8305;272521.4442;272423.4442;473673.4442;272423.4442;277423.4442;478673.4442;482321.8299;288115.0487;491928.315;317713.4084;288115.0487;497121.0097;282922.354;288115.0487;491928.315;282922.354;288115.0487;497121.0097;500784.6375;299143.8108;510758.8495;329875.1668;299143.8108;516150.3154;293752.3449;299143.8108;510758.8495;293752.3449;299143.8108;516150.3154;518705.9867;309849.1327;529037.1413;341680.2575;309849.1327;534621.5491;304264.7248;309849.1327;529037.1413;304264.7248;309849.1327;534621.5491;537581.8668;321124.6437;548288.9755;354114.1135;321124.6437;554076.6017;315337.0174;321124.6437;548288.9755;315337.0174;321124.6437;554076.6017;556119.1356;332197.8852;567195.4541;366324.9206;332197.8852;573182.6533;326210.6859;332197.8852;567195.4541;326210.6859;332197.8852;573182.6533;575115.503;343545.3694;586570.1754;378838.1437;343545.3694;592761.8902;337353.6546;343545.3694;586570.1754;337353.6546;343545.3694;592761.8902;594501.3721;355125.5224;606342.1561;391607.938;355125.5224;612742.5799;348725.0986;355125.5224;606342.1561;348725.0986;355125.5224;612742.5799;614173.4974;366876.6707;626406.0944;404566.294;366876.6707;633018.3091;360264.4561;366876.6707;626406.0944;360264.4561;366876.6707;633018.3091;634546.9904;379046.7811;647185.3698;417986.6526;379046.7811;654016.9262;372215.2247;379046.7811;647185.3698;372215.2247;379046.7811;654016.9262;655103.0062;391325.9215;668150.8031;431527.2419;391325.9215;675203.6664;384273.0583;391325.9215;668150.8031;384273.0583;391325.9215;675203.6664;677671.8187;404807.4066;691169.1225;446393.694;404807.4066;698464.9624;397511.5667;404807.4066;691169.1225;397511.5667;404807.4066;698464.9624;701018.1446;418753.3394;714980.4411;461772.307;418753.3394;722527.6284
