Nome;Categoria;Diâmetro (Polegada);Extensão (km);Município Origem;Município Destino;Fontes;Pressão Máx. Operação;Transportadora;FID
GASCAR 28 (REPLAN - Taubate);Existente;28;198.75643947;Paulinia (SP);Taubate (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2501
GASPAJ 14 (Paulinia - Jacutinga);Existente;14;93.12235169;Paulinia (SP);Jacutinga (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2502
GASCAR 28 (Arapei - Japeri);Existente;28;98.16751707;Paulinia (SP);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2503
GASVOL 14 (ESVOL - TEVOL);Existente;14;5.33060131;Volta Redonda (RJ);Volta Redonda (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2504
GASVOL 18 (ESJAP - ESVOL);Existente;18;51.93753787;Arapei (RJ);Japeri (RJ;NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2505
GASJAP 28 (REDUC - ESJAP);Existente;28;45.26101884;Duque de Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2506
GASVOL 18 (REDUC - ESJAP);Existente;18;41.08954233;Duque de Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2507
GASVOL (Ramal de Campos Elíseos 16);Existente;16;3.66812332;Duque de Caxias (RJ);Duque de Caxias (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2508
GASDUC III (CABIÚNAS - REDUC);Existente;38;184.46869556;Macaé (RJ);Duque de Caxias (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2509
GASBEL II (ESMAN-Queluzito);Existente;18;82.73747081;Santos Dumont (MG);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2510
GASBEL II (ESTAP-ESMAN);Existente;18;97.39053115;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2511
GASBEL II (ESVOL-ESTAP);Existente;18;87.00597921;Volta Redonda (RJ);Queluzito (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2512
GASBEL (REDUC - ESMAN);Existente;16;169.18851912;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2513
GASBEL I (ESMAN-REGAP);Existente;16;182.25546432;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2514
Gasduc I (Ramal Campos Eliseos);Existente;20;2.30797061;Campos Eliseos (RJ);Campos Eliseos (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2515
Gasduc I (Ramal Campos Eliseos);Existente;16;3.66812332;Campos Eliseos (RJ);Campos Eliseos (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2516
Reduc-ESJAP (GASVOL);Existente;18;41.08954233;Duque de Caxias (RJ);Volta Redonda (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2517
Itaboraí-Guapimirim (GASIG);Existente;24;10.92028115;Itaborai (RJ);Guapimirim (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2518
Cacimbas-Vitoria (GASCAV - Ramal UTG-Sul);Existente;10;9.88496943;Anchieta (ES);Anchieta (ES);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2519
GASVOL 18 (REDUC - ESJAP);Existente;18;41.08954233;Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2524
GASIG (Itaboraí-Guapimirim);Existente;24;10.56821268;ITABORAi (RJ);GUAPIMIRIM (RJ);PDE 2024-2034;100;NTS;2526
Terminal Gás Sul (TGS)-GASBOL;Indicativo;20;31.78461268;ITAPOÁ (SC);GARUVA (SC);PIG 2019; ;Estudo EPE;2528
GASINF (São João da Barra-Macaé);Indicativo;24;95.13592449;São João da Barra (RJ);Macaé (RJ);PNIIGB (set/2025);;NTS;2530
GASBOL - Trecho Norte (Corumbá-Paulínia);Existente;30;0.14430438;Puerto Suárez;Corumbá;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2532
GASBOL - Trecho Norte (Corumbá-Paulínia);Existente;32;1255.69437238;Corumbá;Paulínia;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2533
Bilac-Santa Maria (Chimarrão B);Indicativo;20;1218.32202593;BILAC (SP);SANTA MARIA (RS);PIG 2020; ;Estudo EPE;2534
GASFOR II (Serra do Mel-Horizonte);Indicativo;6;215.62352839;SERRA DO MEL (RN);HORIZONTE (CE);PDE 2024-2034;100;TAG;2535
Cacimbas-Vitoria (GASVIC);Existente;26;117.96684807;Cacimbas (ES);Serra (ES);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2536
Lagoa Parda-VB-10;Existente;8;77.76355097;Linhares (ES);Serra (ES);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2537
Cabiunas-Vitoria (GASCAV);Existente;28;296.85417304;Macaé (RJ);Vitoria (RJ);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2538
Cacimbas-Vitoria (GASCAV - Ramal Vitoria);Existente;16;12.40553142;Serra (ES);Vitoria (ES);TAG - Transportadora Associada de Gás S.A (maio 2023);52;TAG;2539
Açailândia-Belém ;Autorizado;14;529.03538445;AÇAILÂNDIA (MA);BELÉM E BARCARENA (PA);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;; ;2540
Meio Norte (Ramal Miranda do Norte-Imperatriz);Autorizado;12;441.60184046;MIRANDA DO NORTE (MA);IMPERATRIZ (MA);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;N/D; ;2541
Meio Norte (Ramal Piripiri-Parnaíba);Autorizado;8;186.09586835;PIRIPIRI (PI);PARNAÍBA (PI);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;N/D; ;2542
Centro Norte;Autorizado;20;1258.05887762;ANÁPOLIS (GO);IMPERATRIZ (MA);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;100; ;2543
Meio-Norte (Ramais Caucáia-Miranda do Norte + Miranda do Norte-São Luiz);Autorizado;20;942.16997147;CAUCAIA (CE);MIRANDA DO NORTE (MA);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;N/D; ;2544
Açailândia - Marabá;Autorizado;20;403.43157627;AÇAILÂNDIA (MA);MARABÁ (PA);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;; ;2545
Gaseb (Sergipe-Bahia);Existente;14;223.98700986;Aracaju (SE);Pojuca (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);28;TAG;2546
Cacimbas-Catu (GASCAC);Existente;28;947.74061784;Cacimbas (ES);Catu (BA);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2547
Ramal FAFEN II;Existente;8;8.56443563;Divina Pastora (SE);Laranjeiras (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2548
Atalaia-Itaporanga (Gai);Existente;14;29.34649385;Atalaia (SE);Itaporanga (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2549
Gaseb (Sergipe-Bahia);Existente;14;223.98700986;Aracaju (SE);Pojuca (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);28;TAG;2550
Atalaia-Laranjeiras (Gal);Existente;14;27.40942532;Aracaju (SE);Laranjeiras (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);38,7;TAG;2551
Catu-Pilar (Catu-Carmopolis);Existente;26;67.37389635;Itaporanga (SE);Carmopolis (SE);TAG - Transportadora Associada de Gás S.A (maio 2023);65;TAG;2552
Pilar-Ipojuca;Existente;24;81.60395548;Pilar (AL);Ipojuca (PE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2553
Catu-Pilar (Carmopolis-Pilar);Existente;26;176.12459657;Carmopolis (SE);Pilar (AL);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2554
Nordestao (Ramal Santa Rita);Existente;8;24.74482707;Santa Rita (PB);SÃO MIGUEL DO TAIPU (PB);TAG - Transportadora Associada de Gás S.A (maio 2023);30;TAG;2555
Nordestao (Ramal Recife);Existente;12;31.53854936;Recife (PE);Jaboatão (PE);TAG - Transportadora Associada de Gás S.A (maio 2023);99,8;TAG;2556
GASALP;Existente;12;200.87171493;Pilar (AL);Cabo de Santo Agostinho (PE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2557
GASALP (Ramal Termopernambuco);Existente;12;11.03910404;Ipojuca (PE);Ipojuca (PE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2558
Gasfor (Ramal Termoacu-Serra do Mel);Existente;14;31.41788302;Acu (RN);Serra do Mel (RN);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2559
Nordestao (Guamare-Cabo);Existente;12;423.62843479;Guamaré (RN);Cabo de Santo Agostinho (PE);TAG - Transportadora Associada de Gás S.A (maio 2023);75;TAG;2560
Gasfor (Guamare-Pecem);Existente;12;382.89799644;Guamare (RN);Caucaia (CE);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2561
Santo Antônio dos Lopes - Barcarena;Indicativo;20;675.23799025;SANTO ANTÔNIO DOS LOPES (MA);BARCARENA (PA);PIG 2020; ;Estudo EPE;2562
Santo Antônio dos Lopes - São Luís;Indicativo;20;272.74306067;SANTO ANTÔNIO DOS LOPES (MA);SÃO LUÍS (MA);PIG 2020; ;Estudo EPE;2563
Santo Antônio dos Lopes - Caucaia;Indicativo;20;677.88435533;SANTO ANTÔNIO DOS LOPES (MA);CAUCAIA (CE);PIG 2020; ;Estudo EPE;2564
